agentType,won,score,avgDecisionTime,epsilon,rolloutDepth,Cp
Guided,False,18,0.205,0.2,10,0.707
Guided,False,18,0.2058,0.2,10,0.707
Guided,False,18,0.2064,0.2,10,0.707
Guided,False,18,0.2055,0.2,10,0.707
Guided,False,18,0.2055,0.2,10,0.707
Guided,False,18,0.2055,0.2,10,0.707
Guided,False,18,0.2053,0.2,10,0.707
Guided,False,18,0.2051,0.2,10,0.707
Guided,False,18,0.2057,0.2,10,0.707
Guided,False,18,0.2058,0.2,10,0.707
Guided,False,10,0.2048,0.2,10,0.707
Guided,False,10,0.2057,0.2,10,0.707
Guided,False,18,0.2053,0.2,10,0.707
Guided,False,18,0.2055,0.2,10,0.707
Guided,False,18,0.2056,0.2,10,0.707
Guided,False,18,0.2053,0.2,10,0.707
Guided,False,0,0.2057,0.2,10,0.707
Guided,False,0,0.2057,0.2,10,0.707
Guided,False,18,0.2053,0.2,10,0.707
Guided,False,18,0.2051,0.2,10,0.707
Guided,False,0,0.2057,0.2,10,0.707
Guided,False,0,0.2056,0.2,10,0.707
Guided,False,3,0.2049,0.2,10,0.707
Guided,False,3,0.2054,0.2,10,0.707
